general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
1,00:54:59,Joshua Nathanael,VAZQUEZ EGURE,Mexico,Men,Pata Salada,10K
3,01:00:17,Garston,TREMBLAY,United States of America,Men,Pata Salada,10K
4,01:00:29,Esteban,GONZALEZ JIMENEZ,Mexico,Men,Pata Salada,10K
5,01:00:48,Luis Ricardo,ACOSTA AGUILAR,Mexico,Men,Pata Salada,10K
6,01:03:32,Carlos,ROSAS,Mexico,Men,Pata Salada,10K
7,01:04:36,Alexander,CONTRERAS,Mexico,Men,Pata Salada,10K
8,01:08:21,Abraham,PEREZ RAMIREZ,Mexico,Men,Pata Salada,10K
10,01:11:27,Israel,FLORES,Mexico,Men,Pata Salada,10K
11,01:12:23,Armando José,BECERRA ARECHIGA,Mexico,Men,Pata Salada,10K
12,01:12:38,Mauro David,ARELLANO SANCHEZ,Mexico,Men,Pata Salada,10K
