general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
1,10:10:29,Julián,VINASCO MARIN,Colombia,Men,Hikuri,100K
2,10:23:52,Jupiter,CARERA CASAS,Mexico,Men,Hikuri,100K
3,10:42:24,Paddy,O LEARY,Ireland,Men,Hikuri,100K
4,10:54:29,Moises,JIMENEZ,Venezuela,Men,Hikuri,100K
5,10:56:50,Jason,SCHLARB,United States of America,Men,Hikuri,100K
6,11:12:02,Cornelio,CIPRIAN,Guatemala,Men,Hikuri,100K
7,11:44:27,Carlos,LOREDO HERNANDEZ,Mexico,Men,Hikuri,100K
9,11:54:43,Jose Eliezer,ARCUBIA PATINO,Mexico,Men,Hikuri,100K
10,12:02:54,Charles,PERROT-MINOT,Canada,Men,Hikuri,100K
11,12:04:07,Edgar Tonatiuh,DIAZ AGUIRRE,Mexico,Men,Hikuri,100K
