given_name,last_name,nationality,gender,race_name,race_category,time,time_rank
Arden,YOUNG,Canada,Women,Hikuri,100K,11:53:51,1
Amber,HOULE,Canada,Women,Hikuri,100K,13:47:20,2
Alexa,ROMANO,United States of America,Women,Hikuri,100K,14:00:25,3
Sandra,YAGUE,Spain,Women,Hikuri,100K,14:27:40,4
Marisol,FRANCO ACEVEDO,Mexico,Women,Hikuri,100K,15:09:06,5
Jodine,COE,United States of America,Women,Hikuri,100K,16:36:32,6
Lucero Abigaith,GOMEZ ESPINDOLA,Mexico,Women,Hikuri,100K,16:49:52,7
Daniela,NAVARRETE,Chile,Women,Hikuri,100K,16:50:39,8
Griselda,AGOSTINI,Argentina,Women,Hikuri,100K,17:53:48,9
Noelia,POLI,Argentina,Women,Hikuri,100K,17:53:48,9
Alyssa,CLARK,United States of America,Women,Wixárika,100M,21:38:51,1
Kelsey,HOGAN,Canada,Women,Wixárika,100M,23:29:41,2
Marisol,ARTEAGA SERRANO,Mexico,Women,Wixárika,100M,27:49:56,3
Marcela Evelyn,ARIAS GAETA,Mexico,Women,Wixárika,100M,29:17:39,4
Holly,GRAHN,Canada,Women,Wixárika,100M,32:29:19,5
Indira,SALAS VELASCO,Mexico,Women,Wixárika,100M,32:45:35,6
María Guadalupe,RAMÍREZ,Mexico,Women,Wixárika,100M,34:21:34,7
Anne,MAXWELL,United States of America,Women,Wixárika,100M,34:38:01,8
Claudia Marcela,SÁNCHEZ GARCÍA,Mexico,Women,Wixárika,100M,34:53:38,9
Charline,VILCHIS,United States of America,Women,Wixárika,100M,35:46:33,10
Emilia,MARTÍNEZ MENDIVIL,Mexico,Women,Pata Salada,10K,01:00:10,1
Alison,PONCE,United States of America,Women,Pata Salada,10K,01:08:27,2
Ana Paola,FUENTES MARTINEZ,Mexico,Women,Pata Salada,10K,01:18:47,3
Otilia,HERNANDEZ HERNANDEZ,Mexico,Women,Pata Salada,10K,01:21:45,4
Ruth,VILLASENOR,Mexico,Women,Pata Salada,10K,01:24:28,5
Sharik Mariana,RAYA ROJAS,Mexico,Women,Pata Salada,10K,01:32:45,6
Perla,CASTILLO,Mexico,Women,Pata Salada,10K,01:36:37,7
Elizabeth,OJEDA JIMENEZ,Mexico,Women,Pata Salada,10K,01:38:17,8
Ma Guadalupe,TIERRAFRIA,Mexico,Women,Pata Salada,10K,01:38:51,9
Paulina,DIAZ,Mexico,Women,Pata Salada,10K,01:39:17,10
Ashley,BRASOVAN,United States of America,Women,Ereno,20K,01:40:48,1
María Magdalena,BARBA LAZARO,Mexico,Women,Ereno,20K,01:43:05,2
Giezi,CRUZ GONZALEZ,Mexico,Women,Ereno,20K,02:07:53,3
Greta,UNGER,United States of America,Women,Ereno,20K,02:09:36,4
Miranda,CASTILLO FERNANDEZ,Mexico,Women,Ereno,20K,02:15:53,5
Mariam Guadalupe,CABRERA,Mexico,Women,Ereno,20K,02:15:56,6
Maria Nataly,MARTINEZ FLORES,Mexico,Women,Ereno,20K,02:19:48,7
Marisol,GONZALEZ,Mexico,Women,Ereno,20K,02:20:04,8
Carmen,PALACIOS,Mexico,Women,Ereno,20K,02:20:27,9
Steffany,OROZCO MURGA,Mexico,Women,Ereno,20K,02:26:17,10
Frida,CERVANTES,Mexico,Women,Haramara,33K,04:04:47,1
Emilie,MANN,Canada,Women,Haramara,33K,04:06:02,2
Denisse,SANCHEZ,Mexico,Women,Haramara,33K,04:06:22,3
Nayeli,DE LA TORRE,Mexico,Women,Haramara,33K,04:06:47,4
Yeni Paola,MORALES PULIDO,Colombia,Women,Haramara,33K,04:15:14,5
Maria,LOPEZ,Mexico,Women,Haramara,33K,04:28:18,6
Maria Del Rocio,Rocio FLORES CARDENAS,Mexico,Women,Haramara,33K,04:34:48,7
Marigel,BARAJAS,Mexico,Women,Haramara,33K,04:39:29,8
Fenella,SCUTT,United Kingdom,Women,Haramara,33K,04:42:42,9
Paula,RODRIGUEZ,Mexico,Women,Haramara,33K,04:42:58,10
Carina,GUADALUPE,Mexico,Women,Haramara,33K,04:42:58,10
Sara,ALONSO,Spain,Women,Nakawé,50K,05:25:54,1
Reyna Isela,RIVERA CARRILLO,Mexico,Women,Nakawé,50K,06:07:50,2
Phoebe,CROSTHWAITE,United Kingdom,Women,Nakawé,50K,06:30:02,3
María Guadalupe,FREGOSO NIEVES,Mexico,Women,Nakawé,50K,07:09:20,4
Haily,VALLES,Costa Rica,Women,Nakawé,50K,07:18:05,5
Lina,CHINCHILLA,Colombia,Women,Nakawé,50K,07:51:16,6
Kerrie,WLAD,Canada,Women,Nakawé,50K,07:57:58,7
Karla,PICARD,Mexico,Women,Nakawé,50K,08:05:32,8
Hannah,VARGAS,Mexico,Women,Nakawé,50K,08:05:40,9
Gloria,RAMOS CASTILLO,Mexico,Women,Nakawé,50K,08:21:11,10
