general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
5,21:38:51,Alyssa,CLARK,United States of America,Women,Wixárika,100M
10,23:29:41,Kelsey,HOGAN,Canada,Women,Wixárika,100M
23,27:49:56,Marisol,ARTEAGA SERRANO,Mexico,Women,Wixárika,100M
29,29:17:39,Marcela Evelyn,ARIAS GAETA,Mexico,Women,Wixárika,100M
49,32:29:19,Holly,GRAHN,Canada,Women,Wixárika,100M
50,32:45:35,Indira,SALAS VELASCO,Mexico,Women,Wixárika,100M
56,34:21:34,María Guadalupe,RAMÍREZ,Mexico,Women,Wixárika,100M
63,34:38:01,Anne,MAXWELL,United States of America,Women,Wixárika,100M
68,34:53:38,Claudia Marcela,SÁNCHEZ GARCÍA,Mexico,Women,Wixárika,100M
73,35:46:33,Charline,VILCHIS,United States of America,Women,Wixárika,100M
