general_rank,time,given_name,last_name,nationality,gender,race_name,race_category
6,04:04:47,Frida,CERVANTES,Mexico,Women,Haramara,33K
7,04:06:02,Emilie,MANN,Canada,Women,Haramara,33K
9,04:06:22,Denisse,SANCHEZ,Mexico,Women,Haramara,33K
11,04:06:47,Nayeli,DE LA TORRE,Mexico,Women,Haramara,33K
13,04:15:14,Yeni Paola,MORALES PULIDO,Colombia,Women,Haramara,33K
16,04:28:18,Maria,LOPEZ,Mexico,Women,Haramara,33K
21,04:34:48,Maria Del Rocio,Rocio FLORES CARDENAS,Mexico,Women,Haramara,33K
23,04:39:29,Marigel,BARAJAS,Mexico,Women,Haramara,33K
25,04:42:42,Fenella,SCUTT,United Kingdom,Women,Haramara,33K
26,04:42:58,Paula,RODRIGUEZ,Mexico,Women,Haramara,33K
