race_name,race_category,age_category,finishers_in_category,winner_name,winner_time,category_avg_minutes,gap_to_avg_min
Hikuri,100K,20-34,53,Jupiter CARERA CASAS,10:23:52,1038.8,414.9
Hikuri,100K,35-39,32,Paddy O LEARY,10:42:24,1014.1,371.7
Hikuri,100K,40-44,38,Julián VINASCO MARIN,10:10:29,1074.5,464.0
Hikuri,100K,45-49,14,Jason SCHLARB,10:56:50,1116.8,460.0
Hikuri,100K,50-54,11,Miguel Natividad RAMOS HERNANDEZ,13:47:49,1134.1,306.3
Hikuri,100K,55-59,3,Kimball GALBRAITH,17:27:49,1216.1,168.3
Hikuri,100K,60-64,3,Gabriel JURI,20:35:39,1262.6,26.9
Wixárika,100M,20-34,30,Samuel COLLINS,17:20:21,1710.8,670.5
Wixárika,100M,35-39,12,Salvador CASTILLO RODRIGUEZ,25:22:54,1893.2,370.3
Wixárika,100M,40-44,15,Remigio HUAMAN QUISPE,16:20:20,1878.5,898.2
Wixárika,100M,45-49,8,Hector FUENTES RIVERA,22:35:31,1733.3,377.8
Wixárika,100M,50-54,7,Robert CLEMENS,25:51:16,1967.4,416.2
Wixárika,100M,60-64,3,Todd NOTT,26:05:15,1835.3,270.0
Pata Salada,10K,20-34,44,Emilia MARTÍNEZ MENDIVIL,01:00:10,117.4,57.3
Pata Salada,10K,35-39,14,Garston TREMBLAY,01:00:17,108.6,48.3
Pata Salada,10K,40-44,23,Israel FLORES,01:11:27,130.4,58.9
Pata Salada,10K,45-49,21,Abraham PEREZ RAMIREZ,01:08:21,131.2,62.9
Pata Salada,10K,50-54,17,César Arturo SÁNCHEZ ARREAGA,01:37:47,132.1,34.3
Pata Salada,10K,55-59,9,Eduardo HUERTA,01:28:35,133.3,44.7
Pata Salada,10K,60-64,7,Fernando FERNÁNDEZ,01:49:26,144.3,34.9
Pata Salada,10K,65-69,5,Karen MARKEL,01:41:56,144.9,42.9
Pata Salada,10K,U18,3,Alexander CONTRERAS,01:04:36,88.3,23.7
Pata Salada,10K,U20,8,Joshua Nathanael VAZQUEZ EGURE,00:54:59,96.8,41.8
Ereno,20K,20-34,116,Jose OCHOA,01:40:16,185.0,84.8
Ereno,20K,35-39,50,José Antonio CHAVEZ CEJA,01:39:58,177.8,77.8
Ereno,20K,40-44,43,Oscar Ramon LOPEZ DIAZ,02:13:24,194.0,60.6
Ereno,20K,45-49,36,Mariam Guadalupe CABRERA,02:15:56,205.3,69.3
Ereno,20K,50-54,22,José Antonio DE PABLO,02:02:56,188.3,65.4
Ereno,20K,55-59,12,Todd LYTLE,02:25:32,189.9,44.3
Ereno,20K,60-64,9,Ricardo MEJIA HERNANDEZ,01:43:37,199.3,95.7
Ereno,20K,65-69,5,Bertha Estela SANCHEZ PALACIOS,02:37:25,205.2,47.8
Ereno,20K,70-74,2,Deb WILDING,03:28:02,211.4,3.4
Ereno,20K,U18,6,Nicolás MARIONA GONZÁLEZ,02:35:58,181.2,25.2
Ereno,20K,U20,6,Mariana GONZALEZ,02:31:33,178.4,26.9
Haramara,33K,20-34,107,Abraham HERNANDEZ,03:01:56,355.6,173.6
Haramara,33K,35-39,42,Fernando Daniel GARCIA RODRIGUEZ,04:12:07,375.1,123.0
Haramara,33K,40-44,43,Ricardo CHAVARRIA,04:01:50,381.2,139.4
Haramara,33K,45-49,29,Oskar ROMERO,04:32:48,406.8,134.0
Haramara,33K,50-54,8,Trent MORROW,04:30:50,415.7,144.8
Haramara,33K,55-59,5,Hector TORRES,06:26:48,432.8,46.0
Haramara,33K,60-64,8,Meinrad WYSER,05:12:19,439.6,127.3
Haramara,33K,65-69,2,Jose Antonio PEREZ CASTILLO,07:57:44,481.6,3.9
Nakawé,50K,20-34,141,Sara ALONSO,05:25:54,585.9,260.0
Nakawé,50K,35-39,55,Juan Carlos CARERA CASAS,05:27:31,569.8,242.3
Nakawé,50K,40-44,52,Joren TITUS,05:20:40,589.9,269.2
Nakawé,50K,45-49,40,Daniel CASTORENA BORJON,07:23:12,634.5,191.3
Nakawé,50K,50-54,31,Kerrie WLAD,07:57:58,645.1,167.1
Nakawé,50K,55-59,10,Maria-Clara SERINO,09:21:10,714.2,153.0
Nakawé,50K,60-64,10,Efren VALE CUEN,09:22:37,665.2,102.6
Nakawé,50K,65-69,2,Florencio Arturo PORTILLO PONCE,09:45:48,609.9,24.1
Nakawé,50K,U20,3,Eleuterio PARRA HERRERA,06:49:58,533.7,123.7
