race_name,race_category,age_category,runner_name,time,overall_rank,category_rank
Hikuri,100K,20-34,Jupiter CARERA CASAS,10:23:52,2,1
Hikuri,100K,20-34,Moises JIMENEZ,10:54:29,4,2
Hikuri,100K,20-34,Carlos LOREDO HERNANDEZ,11:44:27,7,3
Hikuri,100K,20-34,Jose Eliezer ARCUBIA PATINO,11:54:43,9,4
Hikuri,100K,20-34,Charles PERROT-MINOT,12:02:54,10,5
Hikuri,100K,20-34,Simon BUSTAMANTE,12:13:49,12,6
Hikuri,100K,20-34,Rémi POITRAS,12:33:47,14,7
Hikuri,100K,20-34,Oliver MURRAY,13:37:59,15,8
Hikuri,100K,20-34,Harvey HERNANDEZ,13:45:29,17,9
Hikuri,100K,20-34,Amber HOULE,13:47:20,18,10
Hikuri,100K,20-34,Alexa ROMANO,14:00:25,20,11
Hikuri,100K,20-34,Luis Daniel NAVARRO RAMOS,14:06:49,23,12
Hikuri,100K,20-34,Tim ROPCHAN,14:12:30,25,13
Hikuri,100K,20-34,Yevhenii BESPOIASKO,14:19:55,27,14
Hikuri,100K,20-34,Victor Manuel NERI ALFARO,14:33:02,31,15
Hikuri,100K,20-34,Andres HERRERA DURAN,14:40:52,33,16
Hikuri,100K,20-34,Jorge Alberto VIZCAINO DEL TORO,14:56:08,36,17
Hikuri,100K,20-34,Mason PARKER,15:22:24,43,18
Hikuri,100K,20-34,Simon LAMBERT,15:27:25,44,19
Hikuri,100K,20-34,Zach JOHNSON,15:34:21,46,20
Hikuri,100K,20-34,Fabian MATAMOROS CORRALES,16:05:25,50,21
Hikuri,100K,20-34,Jodine COE,16:36:32,56,22
Hikuri,100K,20-34,Raymundo PAEZ,16:38:38,57,23
Hikuri,100K,20-34,Pavle DJORDJEVIC,16:48:52,59,24
Hikuri,100K,20-34,Lucero Abigaith GOMEZ ESPINDOLA,16:49:52,60,25
Hikuri,100K,20-34,Fernando SÁNCHEZ,16:50:39,62,26
Hikuri,100K,20-34,Tsen Tsz CHZHAN,17:21:33,66,27
Hikuri,100K,20-34,Mauricio SEVILLA,17:39:38,70,28
Hikuri,100K,20-34,Fabian ARENA,17:39:45,71,29
Hikuri,100K,20-34,Javier GENARO,17:59:53,78,30
Hikuri,100K,20-34,Antoine LOUIS,18:13:49,83,31
Hikuri,100K,20-34,Neil BEATTIE,18:43:48,87,32
Hikuri,100K,20-34,Tanguy MOUTTE,18:45:26,88,33
Hikuri,100K,20-34,Corentin MAERTENS,18:47:14,89,34
Hikuri,100K,20-34,Jake PERRY,18:50:40,91,35
Hikuri,100K,20-34,Carlos MARQUEZ,19:03:08,93,36
Hikuri,100K,20-34,Alberto José ABRAHAM GASQUE,19:54:19,102,37
Hikuri,100K,20-34,Irma Karen OJEDA HERNANDEZ,20:09:35,108,38
Hikuri,100K,20-34,Sebastián VILLAVERDE,20:16:53,111,39
Hikuri,100K,20-34,Edgar DE LA CRUZ RUEDA,20:23:13,113,40
Hikuri,100K,20-34,Mauricio ESPARZA CORONA,20:43:06,119,41
Hikuri,100K,20-34,Apolline DEWATRE,20:57:25,122,42
Hikuri,100K,20-34,Maxime GREGORIEFF,20:57:25,122,42
Hikuri,100K,20-34,Juan BOTAS VELAZQUEZ,20:58:58,125,44
Hikuri,100K,20-34,Leonel CUETO,21:05:28,127,45
Hikuri,100K,20-34,Ricardo Ivan BELTRAN MANCILLA,21:14:57,130,46
Hikuri,100K,20-34,Kyla PERSKY,21:24:59,135,47
Hikuri,100K,20-34,Asher PERLMUTTER,21:25:00,136,48
Hikuri,100K,20-34,Leonardo Yael ARELLANO NUÑO,21:44:07,142,49
Hikuri,100K,20-34,Lalo QUINZAÑOS,21:44:29,144,50
Hikuri,100K,20-34,Darian MOVSESSIAN,23:03:54,151,51
Hikuri,100K,20-34,Charles CORMIER,24:04:20,153,52
Hikuri,100K,20-34,Philippe CHOLETTE,24:19:10,154,53
Hikuri,100K,35-39,Paddy O LEARY,10:42:24,3,1
Hikuri,100K,35-39,Cornelio CIPRIAN,11:12:02,6,2
Hikuri,100K,35-39,Arden YOUNG,11:53:51,8,3
Hikuri,100K,35-39,Edgar Tonatiuh DIAZ AGUIRRE,12:04:07,11,4
Hikuri,100K,35-39,Pavel MORALES,14:10:51,24,5
Hikuri,100K,35-39,Bernardo VILLASUSO VILLALOBOS,14:51:51,35,6
Hikuri,100K,35-39,Antonio Israel FLORES ARECHIGA,15:06:07,39,7
