race_name,race_category,age_category,runner_name,time
Hikuri,100K,20-34,Jupiter CARERA CASAS,10:23:52
Hikuri,100K,20-34,Moises JIMENEZ,10:54:29
Hikuri,100K,20-34,Carlos LOREDO HERNANDEZ,11:44:27
Hikuri,100K,20-34,Jose Eliezer ARCUBIA PATINO,11:54:43
Hikuri,100K,20-34,Charles PERROT-MINOT,12:02:54
Hikuri,100K,20-34,Simon BUSTAMANTE,12:13:49
Hikuri,100K,35-39,Paddy O LEARY,10:42:24
Hikuri,100K,35-39,Cornelio CIPRIAN,11:12:02
Hikuri,100K,35-39,Arden YOUNG,11:53:51
Hikuri,100K,35-39,Edgar Tonatiuh DIAZ AGUIRRE,12:04:07
Hikuri,100K,40-44,Julián VINASCO MARIN,10:10:29
Hikuri,100K,40-44,Jerónimo REYES CEDILLO,12:32:50
Hikuri,100K,40-44,Ryan LAKHRAM,13:40:40
Hikuri,100K,40-44,Anonymous __anon_124,14:03:07
Hikuri,100K,45-49,Jason SCHLARB,10:56:50
Hikuri,100K,45-49,Marcelo RAMIREZ PALMA,14:17:54
Hikuri,100K,50-54,Miguel Natividad RAMOS HERNANDEZ,13:47:49
Hikuri,100K,50-54,Esteban MARTINEZ,16:25:22
Hikuri,100K,55-59,Kimball GALBRAITH,17:27:49
Hikuri,100K,60-64,Gabriel JURI,20:35:39
Wixárika,100M,20-34,Samuel COLLINS,17:20:21
Wixárika,100M,20-34,Steven DOLL,18:57:46
Wixárika,100M,20-34,Edson Scorpion CHAVEZ,20:53:30
Wixárika,100M,35-39,Salvador CASTILLO RODRIGUEZ,25:22:54
Wixárika,100M,35-39,Noe JASSO INIGUEZ,27:31:04
Wixárika,100M,40-44,Remigio HUAMAN QUISPE,16:20:20
Wixárika,100M,40-44,Jonathan GONZALEZ,24:49:35
Wixárika,100M,45-49,Hector FUENTES RIVERA,22:35:31
Wixárika,100M,50-54,Robert CLEMENS,25:51:16
Wixárika,100M,55-59,Miguel CARREON,34:21:17
Wixárika,100M,60-64,Todd NOTT,26:05:15
Pata Salada,10K,20-34,Emilia MARTÍNEZ MENDIVIL,01:00:10
Pata Salada,10K,20-34,Esteban GONZALEZ JIMENEZ,01:00:29
Pata Salada,10K,20-34,Luis Ricardo ACOSTA AGUILAR,01:00:48
Pata Salada,10K,20-34,Carlos ROSAS,01:03:32
Pata Salada,10K,20-34,Alison PONCE,01:08:27
Pata Salada,10K,35-39,Garston TREMBLAY,01:00:17
Pata Salada,10K,35-39,Juan Carlos BARAJAS,01:19:42
Pata Salada,10K,40-44,Israel FLORES,01:11:27
Pata Salada,10K,40-44,Ruth VILLASENOR,01:24:28
Pata Salada,10K,40-44,Sharik Mariana RAYA ROJAS,01:32:45
Pata Salada,10K,45-49,Abraham PEREZ RAMIREZ,01:08:21
Pata Salada,10K,45-49,Jose Leonor TREJO CAMPOS,01:22:41
Pata Salada,10K,45-49,Francisco MARTINEZ,01:40:15
Pata Salada,10K,50-54,César Arturo SÁNCHEZ ARREAGA,01:37:47
Pata Salada,10K,50-54,Elizabeth OJEDA JIMENEZ,01:38:17
Pata Salada,10K,55-59,Eduardo HUERTA,01:28:35
Pata Salada,10K,60-64,Fernando FERNÁNDEZ,01:49:26
Pata Salada,10K,65-69,Karen MARKEL,01:41:56
Pata Salada,10K,70-74,Guillermo GUTIERREZ,02:29:08
Pata Salada,10K,75-79,Brian JACKSON,02:34:04
Pata Salada,10K,U18,Alexander CONTRERAS,01:04:36
Pata Salada,10K,U20,Joshua Nathanael VAZQUEZ EGURE,00:54:59
Ereno,20K,20-34,Jose OCHOA,01:40:16
Ereno,20K,20-34,Ashley BRASOVAN,01:40:48
Ereno,20K,20-34,Anonymous __anon_946,01:42:42
Ereno,20K,20-34,Roberto VILLAFAÑA RODRÍGUEZ,02:02:56
Ereno,20K,20-34,Octavio GARCIA MARTINEZ,02:05:40
Ereno,20K,20-34,Andrew KARGOL,02:07:35
Ereno,20K,20-34,Giezi CRUZ GONZALEZ,02:07:53
Ereno,20K,20-34,Greta UNGER,02:09:36
Ereno,20K,20-34,Petter HOLLTROE,02:14:18
Ereno,20K,20-34,Bruno MURILLO,02:15:45
Ereno,20K,20-34,Miranda CASTILLO FERNANDEZ,02:15:53
Ereno,20K,20-34,Cesar Alberto MENDEZ BARAJAS,02:16:37
Ereno,20K,35-39,José Antonio CHAVEZ CEJA,01:39:58
Ereno,20K,35-39,Hugo Adrian CASTILLO ESTRADA,01:40:47
Ereno,20K,35-39,María Magdalena BARBA LAZARO,01:43:05
Ereno,20K,35-39,Kristian ANDRES,01:50:20
Ereno,20K,35-39,Christopher MONTES,02:11:18
Ereno,20K,40-44,Oscar Ramon LOPEZ DIAZ,02:13:24
Ereno,20K,40-44,Cuitlahuac RODRIGUEZ GARAY,02:27:25
Ereno,20K,40-44,Daniel VALENCIA TORRES,02:33:03
Ereno,20K,40-44,Roxana CISNEROS,02:33:22
Ereno,20K,40-44,Mónica Guadalupe SANCHEZ CRUZ,02:41:51
Ereno,20K,45-49,Mariam Guadalupe CABRERA,02:15:56
Ereno,20K,45-49,Carlos Arturo CISNEROS DIAZ DE LEÓN,02:29:29
Ereno,20K,45-49,Carlo Alberto ARECHIGA HERNANDEZ,02:32:35
Ereno,20K,45-49,George LEWIS,02:38:29
Ereno,20K,50-54,José Antonio DE PABLO,02:02:56
Ereno,20K,50-54,Angel David HERNANDEZ CERVANTES,02:14:36
Ereno,20K,50-54,Saul Martin AVILA MARTINEZ,02:16:20
Ereno,20K,55-59,Todd LYTLE,02:25:32
Ereno,20K,55-59,Jose Juan ESCAMILLA SALINAS,02:34:14
Ereno,20K,60-64,Ricardo MEJIA HERNANDEZ,01:43:37
Ereno,20K,65-69,Bertha Estela SANCHEZ PALACIOS,02:37:25
Ereno,20K,70-74,Deb WILDING,03:28:02
Ereno,20K,U18,Nicolás MARIONA GONZÁLEZ,02:35:58
Ereno,20K,U20,Mariana GONZALEZ,02:31:33
Haramara,33K,20-34,Abraham HERNANDEZ,03:01:56
Haramara,33K,20-34,Jhoan Sebastian RIVERA ALAPE,03:26:26
Haramara,33K,20-34,Francisco Axel CORONA CARRETERO,03:46:08
Haramara,33K,20-34,Jonatan Uriel MENDIETA CASTILLO,03:57:43
Haramara,33K,20-34,Frida CERVANTES,04:04:47
Haramara,33K,20-34,Emilie MANN,04:06:02
