race_name,race_category,age_category,finisher_count
Hikuri,100K,20-34,53
Hikuri,100K,35-39,32
Hikuri,100K,40-44,38
Hikuri,100K,45-49,14
Hikuri,100K,50-54,11
Hikuri,100K,55-59,3
Hikuri,100K,60-64,3
Hikuri,100K,65-69,0
Hikuri,100K,70-74,0
Hikuri,100K,75-79,0
Hikuri,100K,80+,0
Hikuri,100K,U18,0
Hikuri,100K,U20,0
Wixárika,100M,20-34,30
Wixárika,100M,35-39,12
Wixárika,100M,40-44,15
Wixárika,100M,45-49,8
Wixárika,100M,50-54,7
Wixárika,100M,55-59,1
Wixárika,100M,60-64,3
Wixárika,100M,65-69,0
Wixárika,100M,70-74,0
Wixárika,100M,75-79,0
Wixárika,100M,80+,0
Wixárika,100M,U18,0
Wixárika,100M,U20,0
Pata Salada,10K,20-34,44
Pata Salada,10K,35-39,14
Pata Salada,10K,40-44,23
Pata Salada,10K,45-49,21
Pata Salada,10K,50-54,17
Pata Salada,10K,55-59,9
Pata Salada,10K,60-64,7
Pata Salada,10K,65-69,5
Pata Salada,10K,70-74,1
Pata Salada,10K,75-79,1
Pata Salada,10K,80+,0
Pata Salada,10K,U18,3
Pata Salada,10K,U20,8
Ereno,20K,20-34,116
Ereno,20K,35-39,50
Ereno,20K,40-44,43
Ereno,20K,45-49,36
Ereno,20K,50-54,22
Ereno,20K,55-59,12
Ereno,20K,60-64,9
Ereno,20K,65-69,5
Ereno,20K,70-74,2
Ereno,20K,75-79,0
Ereno,20K,80+,0
Ereno,20K,U18,6
Ereno,20K,U20,6
Haramara,33K,20-34,107
Haramara,33K,35-39,42
Haramara,33K,40-44,43
Haramara,33K,45-49,29
Haramara,33K,50-54,8
Haramara,33K,55-59,5
Haramara,33K,60-64,8
Haramara,33K,65-69,2
Haramara,33K,70-74,0
Haramara,33K,75-79,0
Haramara,33K,80+,0
Haramara,33K,U18,0
Haramara,33K,U20,1
Nakawé,50K,20-34,141
Nakawé,50K,35-39,55
Nakawé,50K,40-44,52
Nakawé,50K,45-49,40
Nakawé,50K,50-54,31
Nakawé,50K,55-59,10
Nakawé,50K,60-64,10
Nakawé,50K,65-69,2
Nakawé,50K,70-74,0
Nakawé,50K,75-79,0
Nakawé,50K,80+,0
Nakawé,50K,U18,0
Nakawé,50K,U20,3
